Date,Price,Open,High,Low,Vol.,Change %
05/15/2022,7389.98,"7,418.15","7,538.68","7,228.67",4.28B,-0.38%
05/22/2022,7585.46,"7,389.98","7,597.64","7,389.98",4.23B,2.65%
05/29/2022,7532.95,"7,585.46","7,648.26","7,529.23",3.36B,-0.69%
6/5/2022,7317.52,"7,532.95","7,646.66","7,294.20",3.90B,-2.86%
6/12/2022,7016.25,"7,317.52","7,317.52","6,998.17",5.98B,-4.12%
06/19/2022,7208.81,"7,016.25","7,211.07","7,014.19",3.99B,2.74%
06/26/2022,7168.65,"7,208.81","7,362.37","7,101.38",3.83B,-0.56%
7/3/2022,7196.24,"7,168.65","7,260.30","7,016.78",4.15B,0.38%
7/10/2022,7159.01,"7,196.24","7,216.90","7,007.09",3.96B,-0.52%
07/17/2022,7276.37,"7,159.01","7,347.60","7,159.01",3.80B,1.64%
07/24/2022,7423.43,"7,276.37","7,441.20","7,242.90",4.26B,2.02%
07/31/2022,7439.74,"7,446.01","7,491.74","7,372.71",3.51B,0.22%
8/7/2022,7500.89,"7,439.74","7,520.72","7,439.74",3.14B,0.82%
08/14/2022,7550.37,"7,500.89","7,578.85","7,463.51",2.77B,0.66%
08/21/2022,7427.31,"7,550.37","7,550.41","7,410.40",2.89B,-1.63%
08/28/2022,7281.19,"7,427.31","7,486.40","7,131.69",3.83B,-1.97%
9/4/2022,7351.07,"7,281.19","7,386.59","7,175.75",4.04B,0.96%
9/11/2022,7236.68,"7,351.07","7,514.04","7,236.17",5.62B,-1.56%
09/18/2022,7018.6,"7,236.68","7,326.54","6,981.50",4.36B,-3.01%
09/25/2022,6893.81,"7,018.60","7,073.96","6,829.29",6.23B,-1.78%
10/2/2022,6991.09,6893.81,7088.17,6797.37,4.94B,1.41%
10/9/2022,6858.79,6991.09,6999.2,6707.62,4.70B,-1.89%
10/16/2022,6969.73,6858.79,7017.4,6850.43,3.93B,1.62%
10/23/2022,7047.67,6969.73,7093.05,6914.66,3.86B,1.12%
10/30/2022,7186.16,7056.3,7228.3,7028.06,,1.97%
